#Index	dataset	original symbol	original locus	cutting site	new symbol	new locus
32184	EKO-NALM6_PMID29038160	DDX11L1	chr1:12169-12268:+	12218	NA	NA
32185	EKO-NALM6_PMID29038160	DDX11L1	chr1:13448-13547:-	13498	NA	NA
32186	EKO-NALM6_PMID29038160	DDX11L9	chr1:13454-13553:-	13504	NA	NA
32187	EKO-NALM6_PMID29038160	DDX11L9	chr1:13502-13601:+	13551	NA	NA
32188	EKO-NALM6_PMID29038160	DDX11L1	chr1:13509-13608:-	13559	NA	NA
32189	EKO-NALM6_PMID29038160	DDX11L10	chr1:13510-13609:+	13559	NA	NA
32190	EKO-NALM6_PMID29038160	DDX11L1	chr1:13543-13642:-	13593	NA	NA
32191	EKO-NALM6_PMID29038160	DDX11L1	chr1:13544-13643:-	13594	NA	NA
32192	EKO-NALM6_PMID29038160	DDX11L10	chr1:13546-13645:+	13595	NA	NA
32193	EKO-NALM6_PMID29038160	WASH7P	chr1:17302-17401:-	17352	NA	NA
32194	EKO-NALM6_PMID29038160	WASH3P	chr1:29284-29383:+	29333	NA	NA
32195	EKO-NALM6_PMID29038160	WASH7P	chr1:29394-29493:-	29444	NA	NA
32196	EKO-NALM6_PMID29038160	WASH7P	chr1:29439-29538:-	29489	NA	NA
32207	EKO-NALM6_PMID29038160	LOC100287060	chr1:133352-133451:-	133402	NA	NA
32208	EKO-NALM6_PMID29038160	LOC100287060	chr1:133353-133452:-	133403	NA	NA
32209	EKO-NALM6_PMID29038160	LOC100287060	chr1:133361-133460:-	133411	NA	NA
32210	EKO-NALM6_PMID29038160	LOC100287060	chr1:133362-133461:-	133412	NA	NA
32211	EKO-NALM6_PMID29038160	LOC100287060	chr1:133363-133462:-	133413	NA	NA
32212	EKO-NALM6_PMID29038160	LOC100287060	chr1:133366-133465:-	133416	NA	NA
32213	EKO-NALM6_PMID29038160	LOC653340	chr1:138486-138585:+	138535	NA	NA
32214	EKO-NALM6_PMID29038160	LOC653340	chr1:138736-138835:-	138786	NA	NA
32215	EKO-NALM6_PMID29038160	LOC653340	chr1:138990-139089:+	139039	NA	NA
32216	EKO-NALM6_PMID29038160	LOC653340	chr1:139008-139107:+	139057	NA	NA
32217	EKO-NALM6_PMID29038160	LOC653340	chr1:139014-139113:-	139064	NA	NA
32218	EKO-NALM6_PMID29038160	LOC653340	chr1:139263-139362:+	139312	NA	NA
32219	EKO-NALM6_PMID29038160	LOC653340	chr1:139423-139522:+	139472	NA	NA
32220	EKO-NALM6_PMID29038160	LOC100287274	chr1:139563-139662:-	139613	NA	NA
32221	EKO-NALM6_PMID29038160	LOC100287274	chr1:139573-139672:-	139623	NA	NA
32222	EKO-NALM6_PMID29038160	LOC100287274	chr1:139583-139682:+	139632	NA	NA
32223	EKO-NALM6_PMID29038160	LOC653340	chr1:143868-143967:-	143918	NA	NA
32224	EKO-NALM6_PMID29038160	LOC100132287	chr1:324713-324812:-	324763	NA	NA
32225	EKO-NALM6_PMID29038160	LOC100132287	chr1:324719-324818:-	324769	NA	NA
32226	EKO-NALM6_PMID29038160	LOC100132287	chr1:324722-324821:-	324772	NA	NA
32227	EKO-NALM6_PMID29038160	LOC100132287	chr1:324723-324822:-	324773	NA	NA
32228	EKO-NALM6_PMID29038160	LOC100132287	chr1:324730-324829:-	324780	NA	NA
