#index	Chr	DSB_coor	strand	Gene_Name	AA_loc	Assigned_pos	Assigned_Gene_Name	Assigned_AA_loc
3	chr9	133710903	+	ABL1	0	chr9:133710903:+	ABL1	24
5	chr3	42906216	-	CCBP2	75	chr3:42906215:-	ACKR2	73
6	chr2	237489298	+	CXCR7	64	chr2:237489298:+	ACKR3	63
7	chr2	223783805	+	ACSL3	231	chr2:223783805:+	ACSL3	230
12	chr2	148653945	-	ACVR2A	44	chr2:148653945:+	ACVR2A	44
14	chr12	52307067	-	ACVRL1	83	chr12:52307067:-	ACVRL1	82
16	chr1	203098287	+	ADORA1	107	chr1:203098287:+	ADORA1	106
25	chr4	3768460	-	ADRA2C	43	chr4:3768459:-	ADRA2C	42
29	chr4	87968250	+	AFF1	188	chr4:87968250:+	AFF1	181
32	chr3	148459098	+	AGTR1	93	chr3:148459098:+	AGTR1	91
34	chr7	91630473	-	AKAP9	415	chr7:91630472:-	AKAP9	414
36	chr19	40748549	-	AKT2	111	chr19:40748549:+	AKT2	111
39	chrX	63412633	-	VAMP7	0	chrX:63412633:+	AMER1	177
41	chr5	112043431	+	APC	0	chr5:112043431:+	APC	5
43	chr11	77301340	-	AQP11	102	chr11:77301340:-	AQP11	100
49	chr12	50367213	-	AQP6	86	chr12:50367212:+	AQP6	86
51	chr5	142150341	-	ARHGAP26	6	chr5:142150341:-	ARHGAP26	5
55	chrX	66765075	-	AR	30	chrX:66765074:-	AR	28
57	chr17	32483451	-	ASIC2	0	chr17:32483450:-	ASIC2	33
59	chr2	220379194	-	ASIC4	44	chr2:220379193:-	ASIC4	42
62	chr20	31017723	-	ASXL1	196	chr20:31017722:+	ASXL1	195
65	chr11	108098393	-	ATM	15	chr11:108098392:-	ATM	13
71	chr19	41737165	-	AXL	249	chr19:41737166:+	AXL	249
78	chr19	45259588	+	BCL3	171	chr19:45259588:+	BCL3	169
80	chr12	122460024	+	BCL7A	10	chr12:122460024:+	BCL7A	9
81	chr1	147091041	-	BCL9	361	chr1:147091040:-	BCL9	360
85	chr14	96707286	-	BDKRB2	208	chr14:96707285:-	BDKRB2	207
86	chr11	102195784	-	BIRC3	182	chr11:102195783:-	BIRC3	181
88	chr4	96044983	+	BMPR1B	125	chr4:96044983:+	BMPR1B	123
93	chr17	59886046	-	BRIP1	233	chr17:59886045:+	BRIP1	233
94	chr15	40457315	-	BUB1B	33	chr15:40457316:+	BUB1B	33
97	chr19	47823250	+	C5AR1	73	chr19:47823250:+	C5AR1	72
98	chr19	47844082	+	PPM1N	0	chr19:47844082:+	C5AR2	9
117	chr17	65021073	-	CACNG4	135	chr17:65021072:-	CACNG4	133
118	chr17	64873522	-	CACNG5	25	chr17:64873521:-	CACNG5	24
126	chr3	121980494	+	CASR	205	chr3:121980494:+	CASR	203
128	chr16	67063320	-	CBFB	4	chr16:67063319:-	CBFB	2
130	chr19	45281290	+	CBLC	35	chr19:45281290:+	CBLC	33
134	chr11	6281185	-	CCKBR	10	chr11:6281186:+	CCKBR	10
136	chr12	4383227	-	CCND2	8	chr12:4383226:-	CCND2	7
140	chr3	46399036	+	CCR2	7	chr3:46399036:+	CCR2	5
141	chr3	46307216	-	CCR3	211	chr3:46307216:-	CCR3	209
142	chr3	32995115	+	CCR4	68	chr3:32995115:+	CCR4	66
148	chr12	6559452	-	CD27	128	chr12:6559451:-	CD27	126
149	chr5	149786864	-	CD74	50	chr5:149786864:+	CD74	50
152	chr19	14512264	-	CD97	322	chr19:14512263:+	CD97	272
153	chr1	193091357	-	CDC73	10	chr1:193091356:-	CDC73	9
154	chr16	65038556	-	CDH11	72	chr16:65038556:+	CDH11	72
159	chr9	21994274	-	CDKN2A	0	chr9:21994273:+	CDKN2A	19
162	chr22	46932916	-	CELSR1	51	chr22:46932916:+	CELSR1	51
163	chr1	109792803	-	CELSR2	35	chr1:109792802:-	CELSR2	33
165	chr7	117149128	-	CFTR	69	chr7:117149127:-	CFTR	68
168	chr2	175711782	+	CHN1	0	chr2:175711782:+	CHN1	25
182	chr4	40339271	-	CHRNA9	86	chr4:40339271:+	CHRNA9	84
183	chr17	7348662	+	CHRNB1	45	chr17:7348662:+	CHRNB1	1
185	chr8	42585754	-	CHRNB3	90	chr8:42585753:-	CHRNB3	88
186	chr15	78923507	-	CHRNB4	90	chr15:78923507:+	CHRNB4	90
189	chr2	233404766	-	CHRNG	41	chr2:233404766:+	CHRNG	39
191	chr16	10995932	-	CIITA	174	chr16:10995931:-	CIITA	173
192	chr1	86948017	-	CLCA1	230	chr1:86948016:-	CLCA1	229
197	chr4	170581552	+	CLCN3	0	chr4:170581552:+	CLCN3	11
198	chrX	10153141	-	CLCN4	24	chrX:10153141:+	CLCN4	22
199	chrX	49807001	-	CLCN5	32	chrX:49807000:-	CLCN5	31
203	chr9	139890119	-	CLIC3	41	chr9:139890118:+	CLIC3	41
205	chr21	36041844	-	CLIC6	53	chr21:36041843:-	CLIC6	51
211	chrX	150911923	-	CNGA2	317	chrX:150911923:-	CNGA2	316
213	chr11	6261357	+	CNGA4	112	chr11:6261357:+	CNGA4	111
214	chr16	58001064	-	CNGB1	42	chr16:58001064:+	CNGB1	42
218	chr1	24201916	-	CNR2	64	chr1:24201916:+	CNR2	64
227	chr7	30721557	-	CRHR2	95	chr7:30721556:-	CRHR2	68
228	chr19	18882261	-	CRTC1	460	chr19:18882260:-	CRTC1	458
229	chr15	91083306	-	CRTC3	57	chr15:91083305:-	CRTC3	55
238	chr16	50783729	-	CYLD	41	chr16:50783728:-	CYLD	39
240	chr13	49281658	-	CYSLTR2	236	chr13:49281658:+	CYSLTR2	234
241	chr1	159175585	-	DARC	121	chr1:159175585:+	DARC	121
243	chr1	162729610	-	DDR2	233	chr1:162729609:-	DDR2	231
244	chr17	62502212	-	DDX5	9	chr17:62502211:+	DDX5	9
259	chr2	42490384	-	EML4	194	chr2:42490383:-	EML4	134
272	chr3	184290606	+	EPHB3	167	chr3:184290606:+	EPHB3	165
277	chr17	37864717	-	ERBB2	124	chr17:37864717:-	ERBB2	123
283	chr16	14014044	-	ERCC4	8	NA	NA	NA
284	chr13	103510649	-	ERCC5	185	chr13:103510648:-	ERCC5	183
287	chr14	64746824	-	ESR2	137	chr14:64746823:+	ESR2	137
293	chr12	12022440	-	ETV6	183	chr12:12022439:-	ETV6	182
294	chr22	29695713	-	EWSR1	607	chr22:29695713:+	EWSR1	605
296	chr11	44117813	-	EXT2	4	chr11:44117813:+	EXT2	4
305	chr6	35420497	-	FANCE	59	chr6:35420497:+	FANCE	59
309	chr4	153303472	+	FBXW7	0	chr4:153303472:+	FBXW7	5
312	chr19	35842490	-	FFAR1	13	chr19:35842489:-	FFAR1	11
313	chr19	35940841	-	FFAR2	76	chr19:35940840:-	FFAR2	75
314	chr10	95326523	+	O3FAR1	16	chr10:95326523:+	FFAR4	15
315	chr6	167416696	-	FGFR1OP	58	chr6:167416695:-	FGFR1OP	56
316	chr8	38275838	-	FGFR1	477	chr8:38275837:-	FGFR1	447
318	chr5	176517557	-	FGFR4	87	chr5:176517556:-	FGFR4	86
320	chr1	241682918	-	FH	35	chr1:241682917:+	FH	35
329	chr13	41240190	-	FOXO1	53	chr13:41240190:+	FOXO1	53
339	chr7	90894220	-	FZD1	9	chr7:90894219:-	FZD1	8
348	chr9	101470776	-	GABBR2	81	chr9:101470775:+	GABBR2	81
349	chr5	161281242	-	GABRA1	52	chr5:161281241:-	GABRA1	51
