Symbol,Essential_Zscore,Doench_score,SSC_score,DeepHF_score,DeepCRISPR_score,FrameShift_IndelPhi,FrameShift_Lindel,FrameShift_FORECasT,Domain_pfam,PROVEAN_score,SIFT_score,Helix,Sheet,Phosphorylation,Acetylation,seq_score,pro_score,ind_score,combined_seq_ind,combined_seq_pro,combined_pro_ind,combined_all
VARS,1.306505141,0.083,0.026513,0.431299627,0.295465052,56.967416,0.718,52.87600000000001,1,-3.47,0.139737101,1,0,0.0,0.0,0.009529987918938039,0.015363695266597787,0.2391318436252991,0.1912378163363677,0.013689718109956306,0.1608254068028878,0.15908714779792218
VARS,1.189828235,0.043,-0.123607,0.501628995,0.122703493,68.33045335,0.732,66.922,1,-4.86,0.438528409,1,0,0.0,0.0,0.1178044034111422,-0.01912860414919521,0.048067358457988305,0.1492750881319308,0.07328664851114777,0.0018513004550428647,0.10527211782873713
VARS,1.4415278969999998,0.114,-0.270728,0.451735169,0.244865119,69.83683547,0.77,74.676,1,-4.86,0.438528409,1,0,0.0,0.0,-0.04279541720827312,-0.01912860414919521,-0.10098361198260612,-0.1167463283408113,-0.07031566961479321,-0.09681226317089206,-0.12961823646512396
VARS,1.0925884540000002,0.412,0.7052,0.596639276,0.261946112,65.33410454,0.8140000000000001,63.872,1,-5.6,0.717307765,1,0,0.0,0.0,0.02392961819318489,-0.023284647645655847,0.04435581680130299,0.05484819969905611,-0.017304117144826957,-0.009311276049836444,0.009973166597289937
VARS,0.99624178,0.12,0.14974400000000002,0.680377841,0.241723984,55.64399324,0.669,65.238,1,-6.82,1.185435124,1,0,0.0,0.0,-0.32140502100374346,-0.025160413598749414,0.12220456020907747,-0.20942215587251614,-0.32747562861743196,0.04512384098413188,-0.24613728628948134
VARS,-0.184270961,0.122,0.685809,0.616066575,0.14566658400000002,87.05792890000002,0.855,82.04299999999998,1,-8.47,1.3656633669999998,1,0,0.0,0.0,0.08134754382619541,-0.11619006915244894,-0.17497347461750384,-0.0553991166613629,-0.05720862423801616,-0.24474489413417308,-0.15983332949511336
VARS,0.257304278,0.363,0.420183,0.6852716209999999,0.41166389,75.21439357,0.84,79.475,1,-8.29,1.441600945,1,0,0.0,0.0,-0.34001056590771345,-0.08493817712176158,-0.20809262651520788,-0.47983014714436417,-0.4070786754543912,-0.23394957874135175,-0.5267354496935643
VARS,0.502050639,0.182,0.16330799999999998,0.649494946,0.18191205,84.63790498,0.7979999999999999,71.575,1,-9.62,1.508271532,1,0,0.0,0.0,-0.3413802873385964,-0.16733272228482268,-0.1211319999215292,-0.41678265517316176,-0.49495827516813673,-0.2668269231107402,-0.5609722198272843
VARS,-0.002802983,0.259,-0.144673,0.594100773,0.198543519,85.32032315,0.823,75.443,1,-6.51,1.720902378,1,0,0.0,0.0,-0.12345737677860873,-0.02741309690377803,-0.2640698809216242,-0.3161034069081221,-0.15057747938417396,-0.21046844350703955,-0.30759869725215216
VARS,1.338141144,0.05,0.293863,0.560868502,0.212429777,45.97428396,0.655,50.03100000000001,1,-8.32,1.766055345,1,0,0.0,0.0,0.09965523262535667,-0.07437125101903048,0.3707610695974116,0.3768155126148031,0.0014308767743912876,0.1518798394729899,0.22922096661848687
VARS,0.411331014,0.293,0.918834,0.6475273970000001,0.495545924,80.44961155,0.818,78.991,1,-5.63,1.802951915,1,0,0.0,0.0,-0.28847074094662484,0.03813298612453022,-0.0863546740628643,-0.3390927185973299,-0.23533278839774754,-0.0301288659453973,-0.28623505748496936
VARS,1.760660242,0.06,0.006136,0.425196528,0.139915362,56.06222224,0.657,52.577,1,-9.14,1.897663462,1,0,0.0,0.0,0.10675855775957785,-0.10784129976199677,0.3700143960638932,0.3828482011431421,-0.028471343082733393,0.1164448174663203,0.20056544000599175
