#Unname 0	dataset	original symbol	original locus	cutting site	new symbol	new locus
5	chari2015Train293T	ACKR2	chr3:42906163-42906262:-	42906216	CCBP2	chr3:42905994-42907148:+
6	chari2015Train293T	ACKR3	chr2:237489252-237489351:+	237489298	CXCR7	chr2:237489108-237490196:+
39	chari2015Train293T	AMER1	chrX:63412580-63412679:-	63412633	VAMP7	chrX:59222135-155171802:+
72	chari2015Train293T	BAI1	chr8:143545679-143545778:+	143545725	NA	NA
98	chari2015Train293T	C5AR2	chr19:47844036-47844135:+	47844082	PPM1N	chr19:46001730-50694826:+
100	chari2015Train293T	CACNA1B	chr9:140772344-140772443:-	140772397	NA	NA
314	chari2015Train293T	FFAR4	chr10:95326477-95326576:+	95326523	O3FAR1	chr10:95326477-95347365:+
543	chari2015Train293T	IKZF1	chr7:50367197-50367296:-	50367250	NA	NA
647	chari2015Train293T	KCNN1	chr19:18084710-18084809:-	18084763	NA	NA
672	chari2015Train293T	KMT2A	chr11:118342352-118342451:+	118342398	MLL	chr11:118307227-118392886:+
673	chari2015Train293T	KMT2C	chr7:151949036-151949135:+	151949082	MLL3	chr7:151464849-152132870:-
674	chari2015Train293T	KMT2D	chr12:49448475-49448574:+	49448521	MLL2	chr12:49415562-49449106:-
751	chari2015Train293T	MYCL	chr1:40366868-40366967:-	40366921	MYCL1	chr1:40363043-40367559:-
780	chari2015Train293T	NPY4R	chr10:47086894-47086993:+	47086940	PPYR1	chr10:47086783-47087910:+
792	chari2015Train293T	NR2E3	chr15:72103804-72103903:+	72103850	NA	NA
813	chari2015Train293T	NUTM1	chr15:34640158-34640257:-	34640211	GOLGA8A	chr15:32460903-34681891:-
982	chari2015Train293T	PKD1L3	chr16:72020195-72020294:+	72020241	NA	NA
1028	chari2015Train293T	RECQL4	chr8:145742445-145742544:+	145742491	NA	NA
1127	chari2015Train293T	TAAR9	chr6:132859887-132859986:+	132859933	NA	NA
1218	chari2015Train293T	VN1R5	chr1:247419882-247419981:+	247419928	NA	NA
2473	doench2014-Hs	CD13	chr15:90340831-90340930:-	90340884	ANPEP	chr15:90328579-90349813:-
2474	doench2014-Hs	CD13	chr15:90346929-90347028:-	90346982	ANPEP	chr15:90328579-90349813:-
2475	doench2014-Hs	CD13	chr15:90344701-90344800:-	90344754	ANPEP	chr15:90328579-90349813:-
2476	doench2014-Hs	CD13	chr15:90349482-90349581:+	90349528	ANPEP	chr15:90328579-90349813:-
2477	doench2014-Hs	CD13	chr15:90336244-90336343:-	90336297	ANPEP	chr15:90328579-90349813:-
2478	doench2014-Hs	CD13	chr15:90346649-90346748:+	90346695	ANPEP	chr15:90328579-90349813:-
2479	doench2014-Hs	CD13	chr15:90342493-90342592:+	90342539	ANPEP	chr15:90328579-90349813:-
2480	doench2014-Hs	CD13	chr15:90344349-90344448:+	90344395	ANPEP	chr15:90328579-90349813:-
2481	doench2014-Hs	CD13	chr15:90348578-90348677:+	90348624	ANPEP	chr15:90328579-90349813:-
2482	doench2014-Hs	CD13	chr15:90349167-90349266:-	90349220	ANPEP	chr15:90328579-90349813:-
2483	doench2014-Hs	CD13	chr15:90346464-90346563:+	90346510	ANPEP	chr15:90328579-90349813:-
2484	doench2014-Hs	CD13	chr15:90344766-90344865:+	90344812	ANPEP	chr15:90328579-90349813:-
2485	doench2014-Hs	CD13	chr15:90344752-90344851:+	90344798	ANPEP	chr15:90328579-90349813:-
2486	doench2014-Hs	CD13	chr15:90346422-90346521:-	90346475	ANPEP	chr15:90328579-90349813:-
2487	doench2014-Hs	CD13	chr15:90340856-90340955:+	90340902	ANPEP	chr15:90328579-90349813:-
2488	doench2014-Hs	CD13	chr15:90348523-90348622:+	90348569	ANPEP	chr15:90328579-90349813:-
2489	doench2014-Hs	CD13	chr15:90349299-90349398:-	90349352	ANPEP	chr15:90328579-90349813:-
2490	doench2014-Hs	CD13	chr15:90346935-90347034:-	90346988	ANPEP	chr15:90328579-90349813:-
2491	doench2014-Hs	CD13	chr15:90346830-90346929:-	90346883	ANPEP	chr15:90328579-90349813:-
2492	doench2014-Hs	CD13	chr15:90347727-90347826:+	90347773	ANPEP	chr15:90328579-90349813:-
2493	doench2014-Hs	CD13	chr15:90349538-90349637:+	90349584	ANPEP	chr15:90328579-90349813:-
2494	doench2014-Hs	CD13	chr15:90347734-90347833:-	90347787	ANPEP	chr15:90328579-90349813:-
2495	doench2014-Hs	CD13	chr15:90347469-90347568:-	90347522	ANPEP	chr15:90328579-90349813:-
2496	doench2014-Hs	CD13	chr15:90348594-90348693:+	90348640	ANPEP	chr15:90328579-90349813:-
2497	doench2014-Hs	CD13	chr15:90349209-90349308:-	90349262	ANPEP	chr15:90328579-90349813:-
2498	doench2014-Hs	CD13	chr15:90348565-90348664:+	90348611	ANPEP	chr15:90328579-90349813:-
2499	doench2014-Hs	CD13	chr15:90340862-90340961:+	90340908	ANPEP	chr15:90328579-90349813:-
2500	doench2014-Hs	CD13	chr15:90349472-90349571:-	90349525	ANPEP	chr15:90328579-90349813:-
2501	doench2014-Hs	CD13	chr15:90344758-90344857:+	90344804	ANPEP	chr15:90328579-90349813:-
2502	doench2014-Hs	CD13	chr15:90348279-90348378:-	90348332	ANPEP	chr15:90328579-90349813:-
2503	doench2014-Hs	CD13	chr15:90335736-90335835:-	90335789	ANPEP	chr15:90328579-90349813:-
2504	doench2014-Hs	CD13	chr15:90347162-90347261:+	90347208	ANPEP	chr15:90328579-90349813:-
2505	doench2014-Hs	CD13	chr15:90342448-90342547:-	90342501	ANPEP	chr15:90328579-90349813:-
2506	doench2014-Hs	CD13	chr15:90347501-90347600:+	90347547	ANPEP	chr15:90328579-90349813:-
2507	doench2014-Hs	CD13	chr15:90349215-90349314:-	90349268	ANPEP	chr15:90328579-90349813:-
2508	doench2014-Hs	CD13	chr15:90346872-90346971:-	90346925	ANPEP	chr15:90328579-90349813:-
