#index	Chr	DSB_coor	strand	Gene_Name	AA_loc	Assigned_pos	Assigned_Gene_Name	Assigned_AA_loc
31094	chr6	135502663	-	MYB	5	chr6:135502663:+	MYB	3
31095	chr6	135502663	+	MYB	5	chr6:135502663:+	MYB	3
31096	chr6	135502669	+	MYB	7	chr6:135502669:+	MYB	5
31099	chr6	135502672	-	MYB	8	chr6:135502671:-	MYB	7
31102	chr6	135507092	-	MYB	26	chr6:135507091:-	MYB	24
31104	chr6	135507095	+	MYB	27	chr6:135507095:+	MYB	25
31110	chr6	135507128	+	MYB	38	chr6:135507128:+	MYB	37
31111	chr6	135507137	+	MYB	41	chr6:135507137:+	MYB	39
31112	chr6	135507140	+	MYB	42	chr6:135507140:+	MYB	40
31113	chr6	135507146	+	MYB	44	chr6:135507146:+	MYB	42
31117	chr6	135507155	-	MYB	47	chr6:135507154:-	MYB	46
31121	chr6	135509013	+	MYB	62	chr6:135509013:+	MYB	60
31124	chr6	135510955	-	MYB	81	chr6:135510955:+	MYB	80
31125	chr6	135510955	+	MYB	81	chr6:135510955:+	MYB	80
31126	chr6	135510961	-	MYB	83	chr6:135510960:-	MYB	82
31127	chr6	135510982	-	MYB	90	chr6:135510982:-	MYB	88
31128	chr6	135510983	-	MYB	90	chr6:135510982:-	MYB	88
31131	chr6	135510994	+	MYB	94	chr6:135510994:+	MYB	92
31132	chr6	135511001	-	MYB	96	chr6:135511000:-	MYB	95
31135	chr6	135511297	+	MYB	114	chr6:135511297:+	MYB	113
31136	chr6	135511298	-	MYB	114	chr6:135511297:+	MYB	113
31140	chr6	135511324	+	MYB	123	chr6:135511324:+	MYB	121
31142	chr6	135511345	+	MYB	130	chr6:135511345:+	MYB	128
31144	chr6	135511351	+	MYB	132	chr6:135511351:+	MYB	130
31145	chr6	135511354	+	MYB	133	chr6:135511354:+	MYB	132
31146	chr6	135511372	-	MYB	139	chr6:135511371:-	MYB	138
31147	chr6	135511382	-	MYB	142	chr6:135511381:-	MYB	140
31148	chr6	135511393	+	MYB	146	chr6:135511393:+	MYB	144
31153	chr6	135511432	-	MYB	159	chr6:135511431:-	MYB	158
